cts,GPS (Lat.) [deg],GPS (Long.) [deg]
5360,30.2976176,120.0767881
5370,30.2976176,120.0767881
5380,30.2976176,120.0767881
5390,30.2976176,120.0767881
5400,30.2976176,120.0767881
5410,30.2976176,120.0767881
5420,30.2976176,120.0767881
5430,30.2976176,120.0767881
5440,30.2976176,120.0767881
5450,30.2976176,120.0767881
5460,30.2976176,120.0767881
5470,30.2976176,120.0767881
5480,30.2976176,120.0767881
5490,30.2976176,120.0767881
5500,30.2976176,120.0767881
5510,30.2976176,120.0767881
5520,30.2976176,120.0767881
5530,30.2976176,120.0767881
5540,30.2976176,120.0767881
5550,30.2976176,120.0767881
5560,30.2976176,120.0767881
5570,30.29761762,120.0767881
5580,30.29761763,120.0767881
5590,30.29761765,120.076788
5600,30.29761767,120.076788
5610,30.2976177,120.076788
5620,30.2976177,120.076788
5630,30.2976177,120.076788
5640,30.2976177,120.076788
5650,30.2976177,120.076788
5660,30.2976177,120.076788
5670,30.2976177,120.076788
5680,30.29761769,120.076788
5690,30.29761767,120.076788
5700,30.29761765,120.076788
5710,30.29761763,120.076788
5720,30.29761764,120.076788
5730,30.29761759,120.076788
5740,30.29761753,120.076788
5750,30.29761748,120.076788
5760,30.29761743,120.076788
5770,30.29761737,120.076788
5780,30.29761731,120.076788
5790,30.29761729,120.076788
5800,30.29761727,120.076788
5810,30.29761725,120.076788
5820,30.29761723,120.0767879
5830,30.29761722,120.0767879
5840,30.2976172,120.0767879
5850,30.29761718,120.0767879
5860,30.29761716,120.0767879
5870,30.29761714,120.076788
5880,30.29761713,120.076788
5890,30.2976171,120.076788
5900,30.2976171,120.076788
5910,30.2976171,120.076788
5920,30.2976171,120.076788
5930,30.2976171,120.0767879
5940,30.2976171,120.0767879
5950,30.2976171,120.0767879
5960,30.29761712,120.0767879
5970,30.29761714,120.0767879
5980,30.29761715,120.076788
5990,30.29761717,120.076788
6000,30.29761722,120.076788
6010,30.29761719,120.076788
6020,30.29761715,120.076788
6030,30.29761711,120.076788
6040,30.29761708,120.076788
6050,30.29761704,120.076788
6060,30.297617,120.076788
6070,30.29761698,120.076788
6080,30.29761697,120.076788
6090,30.29761695,120.076788
6100,30.29761693,120.076788
6110,30.29761689,120.076788
6120,30.2976169,120.076788
6130,30.29761692,120.076788
6140,30.29761694,120.076788
6150,30.29761696,120.076788
6160,30.29761698,120.076788
6170,30.29761701,120.076788
6180,30.29761699,120.076788
6190,30.29761697,120.076788
6200,30.29761695,120.076788
6210,30.29761693,120.0767879
6220,30.29761692,120.0767879
6230,30.2976169,120.0767879
6240,30.29761688,120.0767879
6250,30.29761686,120.0767879
6260,30.29761684,120.0767878
6270,30.29761683,120.0767878
6280,30.29761681,120.0767878
6290,30.29761679,120.0767878
6300,30.29761677,120.0767878
6310,30.29761675,120.0767878
6320,30.29761674,120.0767879
6330,30.29761672,120.0767879
6340,30.2976167,120.0767879
6350,30.29761668,120.0767879
6360,30.29761666,120.0767879
6370,30.29761665,120.0767878
6380,30.29761663,120.0767878
6390,30.29761659,120.0767878
6400,30.29761661,120.0767878
6410,30.29761663,120.0767878
6420,30.29761664,120.0767878
6430,30.29761666,120.0767878
6440,30.29761668,120.0767878
6450,30.2976167,120.0767878
6460,30.2976167,120.0767878
6470,30.2976167,120.0767878
6480,30.2976167,120.0767878
6490,30.2976167,120.0767878
6500,30.2976167,120.0767878
6510,30.2976167,120.0767878
6520,30.2976167,120.0767878
6530,30.2976167,120.0767878
6540,30.2976167,120.0767878
6550,30.2976167,120.0767878
6560,30.2976167,120.0767878
6570,30.2976167,120.0767878
6580,30.2976167,120.0767878
6590,30.2976167,120.0767877
6600,30.2976167,120.0767877
6610,30.29761671,120.0767877
6620,30.2976167,120.0767877
6630,30.29761668,120.0767877
6640,30.29761666,120.0767877
6650,30.29761664,120.0767877
6660,30.29761662,120.0767877
6670,30.2976166,120.0767877
6680,30.2976166,120.0767877
6690,30.2976166,120.0767877
6700,30.2976166,120.0767877
6710,30.2976166,120.0767876
6720,30.29761662,120.0767876
6730,30.2976166,120.0767876
6740,30.29761658,120.0767876
6750,30.29761656,120.0767876
6760,30.29761654,120.0767876
6770,30.29761653,120.0767876
6780,30.29761651,120.0767876
6790,30.29761649,120.0767876
6800,30.29761647,120.0767876
6810,30.29761645,120.0767876
6820,30.29761644,120.0767875
